"DisplayName","Number","Minimum","Maximum","IsDynamic","IsAdvanced","Description","RunValue","ConfigValue"
"recovery interval (min)","101","0","32767","True","True","Maximum recovery interval in minutes","0","0"
"allow updates","102","0","1","True","False","Allow updates to system tables","0","0"
"user connections","103","0","32767","False","True","Number of user connections allowed","0","0"
"locks","106","5000","2147483647","False","True","Number of locks for all users","0","0"
"open objects","107","0","2147483647","False","True","Number of open database objects","0","0"
"fill factor (%)","109","0","100","False","True","Default fill factor percentage","0","0"
"disallow results from triggers","114","0","1","True","True","Disallow returning results from triggers","0","0"
"nested triggers","115","0","1","True","False","Allow triggers to be invoked within triggers","1","1"
"server trigger recursion","116","0","1","True","False","Allow recursion for server level triggers","1","1"
"remote access","117","0","1","False","False","Allow remote access","1","1"
"default language","124","0","9999","True","False","default language","0","0"
"cross db ownership chaining","400","0","1","True","False","Allow cross db ownership chaining","0","0"
"max worker threads","503","128","65535","True","True","Maximum worker threads","0","0"
"network packet size (B)","505","512","32767","True","True","Network packet size","4096","4096"
"show advanced options","518","0","1","True","False","show advanced options","0","0"
"remote proc trans","542","0","1","True","False","Create DTC transaction for remote procedures","0","0"
"c2 audit mode","544","0","1","False","True","c2 audit mode","0","0"
"default full-text language","1126","0","2147483647","True","True","default full-text language","1033","1033"
"two digit year cutoff","1127","1753","9999","True","True","two digit year cutoff","2049","2049"
"index create memory (KB)","1505","704","2147483647","True","True","Memory for index create sorts (kBytes)","0","0"
"priority boost","1517","0","1","False","True","Priority boost","0","0"
"remote login timeout (s)","1519","0","2147483647","True","False","remote login timeout","10","10"
"remote query timeout (s)","1520","0","2147483647","True","False","remote query timeout","600","600"
"cursor threshold","1531","-1","2147483647","True","True","cursor threshold","-1","-1"
"set working set size","1532","0","1","False","True","set working set size","0","0"
"user options","1534","0","32767","True","False","user options","0","0"
"affinity mask","1535","-2147483648","2147483647","True","True","affinity mask","0","0"
"max text repl size (B)","1536","-1","2147483647","True","False","Maximum size of a text field in replication.","65536","65536"
"media retention","1537","0","365","True","True","Tape retention period in days","0","0"
"cost threshold for parallelism","1538","0","32767","True","True","cost threshold for parallelism","5","5"
"max degree of parallelism","1539","0","32767","True","True","maximum degree of parallelism","0","0"
"min memory per query (KB)","1540","512","2147483647","True","True","minimum memory per query (kBytes)","1024","1024"
"query wait (s)","1541","-1","2147483647","True","True","maximum time to wait for query memory (s)","-1","-1"
"min server memory (MB)","1543","0","2147483647","True","True","Minimum size of server memory (MB)","16","0"
"max server memory (MB)","1544","128","2147483647","True","True","Maximum size of server memory (MB)","2147483647","2147483647"
"query governor cost limit","1545","0","2147483647","True","True","Maximum estimated cost allowed by query governor","0","0"
"lightweight pooling","1546","0","1","False","True","User mode scheduler uses lightweight pooling","0","0"
"scan for startup procs","1547","0","1","False","True","scan for startup stored procedures","0","0"
"affinity64 mask","1549","-2147483648","2147483647","True","True","affinity64 mask","0","0"
"affinity I/O mask","1550","-2147483648","2147483647","False","True","affinity I/O mask","0","0"
"affinity64 I/O mask","1551","-2147483648","2147483647","False","True","affinity64 I/O mask","0","0"
"transform noise words","1555","0","1","True","True","Transform noise words for full-text query","0","0"
"precompute rank","1556","0","1","True","True","Use precomputed rank for full-text query","0","0"
"PH timeout (s)","1557","1","3600","True","True","DB connection timeout for full-text protocol handler (s)","60","60"
"clr enabled","1562","0","1","True","False","CLR user code execution enabled in the server","0","0"
"max full-text crawl range","1563","0","256","True","True","Maximum  crawl ranges allowed in full-text indexing","4","4"
"ft notify bandwidth (min)","1564","0","32767","True","True","Number of reserved full-text notifications buffers","0","0"
"ft notify bandwidth (max)","1565","0","32767","True","True","Max number of full-text notifications buffers","100","100"
"ft crawl bandwidth (min)","1566","0","32767","True","True","Number of reserved full-text crawl buffers","0","0"
"ft crawl bandwidth (max)","1567","0","32767","True","True","Max number of full-text crawl buffers","100","100"
"default trace enabled","1568","0","1","True","True","Enable or disable the default trace","1","1"
"blocked process threshold (s)","1569","0","86400","True","True","Blocked process reporting threshold","0","0"
"in-doubt xact resolution","1570","0","2","True","True","Recovery policy for DTC transactions with unknown outcome","0","0"
"remote admin connections","1576","0","1","True","False","Dedicated Admin Connections are allowed from remote clients","0","0"
"common criteria compliance enabled","1577","0","1","False","True","Common Criteria compliance mode enabled","0","0"
"EKM provider enabled","1578","0","1","True","True","Enable or disable EKM provider","0","0"
"backup compression default","1579","0","1","True","False","Enable compression of backups by default","0","0"
"filestream access level","1580","0","2","True","False","Sets the FILESTREAM access level","0","0"
"optimize for ad hoc workloads","1581","0","1","True","True","When this option is set, plan cache size is further reduced for single-use adhoc OLTP workload.","0","0"
"access check cache bucket count","1582","0","65536","True","True","Default hash bucket count for the access check result security cache","0","0"
"access check cache quota","1583","0","2147483647","True","True","Default quota for the access check result security cache","0","0"
"Agent XPs","16384","0","1","True","True","Enable or disable Agent XPs","1","1"
"Database Mail XPs","16386","0","1","True","True","Enable or disable Database Mail XPs","0","0"
"SMO and DMO XPs","16387","0","1","True","True","Enable or disable SMO and DMO XPs","1","1"
"Ole Automation Procedures","16388","0","1","True","True","Enable or disable Ole Automation Procedures","0","0"
"xp_cmdshell","16390","0","1","True","True","Enable or disable command shell","0","0"
"Ad Hoc Distributed Queries","16391","0","1","True","True","Enable or disable Ad Hoc Distributed Queries","0","0"
"Replication XPs","16392","0","1","True","True","Enable or disable Replication XPs","0","0"
"contained database authentication","16393","0","1","True","False","Enables contained databases and contained authentication","0","0"
